Name,latitude,longitude
Chamorro,13.45,144.75
Chambri,-4.166666667,143.0833333
Chechen,43.25,45.83333333
Chaudangsi,30,80.25
Cherokee,35.5,-83.5
Chang,26.33333333,94.75
Chaha,8.112935,37.93267
Chimariko,41,-123
Chuj,15.91666667,-91.58333333
Chukchi,67,-173
Chehalis (Upper),46.58333333,-123
Chamalal,42.55,46.05
Chantyal,28.58333333,83.41666667
Chontal (Highland),16.25,-95.75
Chipewyan,59,-106
Chinantec (Quiotepec),17.58333333,-96.66666667
Chrau,10.75,107.5
Chin (Siyin),23.83333333,94
Chatino (Nopala),16.08333333,-97.16666667
Chulupí,-23.5,-60.5
Chuvash,55.5,47.5
Cham (Western),12,105.5
Chontal (Huamelultec Oaxaca),16,-95.75
Chayahuita,-5.5,-77
Chaozhou,23.66666667,116.6666667
Chichewa,-14,34
CiLuba,-6,22
Chumash (Ineseño),34.66666667,-120.25
Chichimeca-Jonaz,21.66666667,-100.5
Cheke Holo,-8.333333333,159.6666667
Chinook (Lower),46.25,-123.5
Canela-Krahô,-6,-46
Chinook (Upper),45.5,-122.5
Clallam,48.08333333,-123.75
Colac,-38.33333333,143.5
Chaldean (Modern),36,43
Chinantec (Lealao),17.33333333,-95.91666667
Cholón,-8,-77.5
Chulym,54.33333333,89.66666667
Chimila,10,-74
Comecrudo,25.83333333,-99
Cham (Eastern),11.33333333,108.5
Chemehuevi,34.33333333,-115.1666667
Chemakum,48.08333333,-122.9166667
Camling,27,86.66666667
Comanche,33.5,-101.5
Chin (Mara),23,93.16666667
Comox,50.16666667,-125
Chontal Maya,18.16666667,-92.58333333
Canela,-7,-45
Canamarí,-6.5,-68.5
Cantonese,23,113
Coahuilteco,28,-100
Cocama,-5,-74.5
Coeur d'Alene,47.25,-116.5
Cofán,0.166666667,-77.16666667
Cogui,11,-73.83333333
Chortí,14.83333333,-89.25
Chol,17.75,-92.5
Comorian,-12,44
Coos (Hanis),43.5,-124.1666667
Coptic,26,32
Cora,22.16666667,-104.8333333
Rumsien,37,-122
Campa Pajonal Asheninca,-10.66666667,-74.25
Chinantec (Palantla),18.83333333,-96.75
Chepang,27.66666667,84.75
Chippewa (Red Lake and Pillager),48,-95
Chipaya,-18.75,-67.83333333
Chiquitano,-17.5,-60
Cree (Plains),54,-110
Chiriguano,-23.66666667,-64.33333333
Chru,11.5,108.5
Crimean Tatar,45,34.08333333
Carijona,1,-73
Creek,34,-85
Carolinian,15.2,145.75
Cornish,50.33333333,-5
Crow,47,-108
Carapana,0.833333333,-70.75
Carrier,53.75,-123.5
Chorote,-22.5,-62.5
Chinantec (Sochiapan),17.75,-96.66666667
Chinantec (San Felipe Usila),17.91666667,-96.5
Cashinahua,-10.5,-71.83333333
Diola-Kasa,12.5,-16.75
Chinese Sign Language,35,115
Chatino (Sierra Occidental),16.25,-97.33333333
Cuicatec,17.83333333,-96.83333333
Chinantec (Tepetotutla),17.83333333,-96.5
Chin (Tiddim),23.33333333,93.66666667
Catalan,41.75,2
Chitimacha,29.66666667,-91
Chatino (Tataltepec),16.16666667,-97.58333333
Catawba,35.5,-80.5
Cua,15.25,108.5
Cubeo,1.333333333,-70.5
Cuica,9,-70.5
Cuiba,6.5,-70
Culina,-6,-70.5
Chumburung,7.75,0.25
Cupeño,33.16666667,-116.5
Curripaco,2.5,-68.5
Cuitlatec,17.5,-101
Chuukese,7.333333333,151.75
Chavacano,7,122.0833333
Chuave,-6.116666667,145.1166667
Columbia-Wenatchi,47.5,-120
Chatino (Yaitepec),16.25,-97.25
Cayuga,42.75,-76.75
Cheyenne,47,-95
Cayuvava,-13.5,-65.5
Czech,50,15
Da'a,-1,119.5833333
Daba,10.16666667,13.75
Dadibi,-6.55,144.5833333
Daga,-10,149.3333333
Dahalo,-2.333333333,40.5
Dakota,45,-93.5
Damana,11,-73.5
Dan,7.5,-8
Darai,24,84
Datooga,-4.333333333,35.33333333
Dâw,-0.25,-67.08333333
Day,8.75,17.83333333
Dabida,-4,38.66666667
Dutch (Brabantic),50.75,4.5
Dan (Blowo),7.333333333,-8.166666667
Dumagat (Casiguran),16.33333333,122
Dhuwal (Dätiwuy),-12.16666667,136.25
Daju (Dar Fur),12.25,25.25
Dadjriwalé,5.25,-5.666666667
Donno So,14.33333333,-3.583333333
Defaka,4.583333333,7.5
Degema,4.75,6.75
Dení,-6,-67
Dla (Proper),-3.583333333,141
Desano,0.833333333,-69.83333333
Deti,-20.5,24.5
Deuri,26,90.25
Dagaare,10.5,-2.666666667
Dagbani,9.583333333,-0.5
Deutsche Gebärdensprache,52,11
Dogri,33,75
Dongo,3,30
Dagur,48,124
Degexit'an,62,-160
Dhaasanac,4.666666667,36.33333333
Dharumbal,-22.75,150.5
Dhivehi,4.166666667,73.5
Dhalandji,-22.08,115
Dhimal,26.66666667,87.75
Dhargari,-23.75,114.9166667
Dhurga,-35.66666667,150
Dharawal,-34.5,150.5
Didinga,4.5,33.5
Diegueño (Mesa Grande),32.66666667,-116.1666667
Digaro,28.41666667,96
Dime,6.166666667,36.25
Dinka,8.5,28
Diola-Fogny,13,-16.25
Diyari,-28,139
Dizi,6.166666667,36.5
Djabugay,-16.75,145.5833333
Djingili,-17.75,134
Djambarrpuyngu,-12.16666667,135.5
Djinang,-12.33333333,134.8333333
Djapu,-12.66666667,136
Djaru,-18.75,128
Dutch (Limburg),51,5.5
Dla (Menggwa),-3.55,141.0333333
Duma,-0.95,13
Dumi,27.25,86.66666667
Dumaki,36.16666667,74
Dimasa,25.5,93
Ding,-4.333333333,19.5
Dani (Lower Grand Valley),-4.333333333,138.8333333
Dangaléat (Western),12.16666667,18.33333333
Dobel,-6.25,134.6666667
Doko,3,23.08333333
Dolgan,71.25,98
Domari,32,35
Dong,27,109
Doutai,-3.333333333,138.1666667
Doyayo,8.666666667,13.08333333
Drehu,-21,167.25
Dargwa,42.25,47.41666667
Dari,35,66
Darma,30,79.75
Danish,56,10
Toro So,14.41666667,-3.25
Duala,4,9.416666667
Dullay (Gollango),5.5,37.25
Duka,11.16666667,5.083333333
Dulong,28,98.33333333
Dumo,-2.683333333,141.3
Duna,-5.5,142.5
Dutch,52.5,6
Dutch (Zeeuws),51.5,3.75
Dyirbal,-17.83333333,145.5833333
Dyimini,8.416666667,-4.416666667
Dyula,9.833333333,-4.666666667
Ebira,8.166666667,7
Edolo,-6.166666667,142.6666667
Efik,4.916666667,8.5
Ega,5.5,-5.5
Engenni,5.166666667,6.383333333
Eipo,-4.333333333,140.0833333
Ejagham,5.416666667,8.666666667
Ekari,-3.833333333,135.5
Ekoti,-16.5,39.5
Elseng,-3,140.5
Emberá (Northern),6.833333333,-77.16666667
Embera Chami,5,-76
Émérillon,3.166666667,-52.41666667
Embaloh,1.166666667,112.3333333
Emmi,-13.5,130
Enga,-5.5,143.6666667
Enets,67.5,86.5
English,52,0
Enggano,-5.416666667,102.25
Enya,-0.5,25.25
Epena Pedee,3,-77
Efate (South),-17.75,168.4166667
Erromangan,-18.83333333,169.1666667
Ese Ejja,-11,-66
Esmeraldeño,0.333333333,-79.83333333
Esselen,36.25,-121.75
Estonian,59,26
Etsako,7.25,6.5
Eudeve,29.16666667,-109.6666667
Evenki,56,125
Even,68,130
Ewe (Anglo),6,1
Ewe,6.333333333,0.416666667
Ewondo,4,12
Eyak,60.5,-145
Faroese,62,-7
Fasu,-6.583333333,143.3333333
Fula (Burkina Faso),14,0
Frisian (Eastern),53.58333333,7.5
Fe'fe',5.25,10.16666667
Fulani (Gombe),10.25,11.25
Fula (Guinean),11.5,-12.5
Fijian,-17.83333333,178
Finnish,62,25
Fiote,-5.5,14
Fijian (Wayan),-17,177.3
Ful (Liptako),13.5,0.5
Fula (Mauritanian),16.5,-13.75
